name,trades,win_rate,pnl,sharpe,avg_pnl,max_dd
skip_Monday,1020,0.8578431372549019,409950.1940884821,0.6235928659205356,401.9119549887082,0
skip_Tuesday,994,0.8631790744466801,417380.30062946706,0.6871600656535181,419.8996988224018,0
skip_Wednesday,996,0.8654618473895582,422661.18305376865,0.6994228969047628,424.35861752386415,0
skip_Thursday,1002,0.9321357285429142,501123.5808405793,0.8915793975086549,500.1233341722351,0
skip_Friday,1000,0.859,409303.6907995394,0.6451846975537088,409.30369079953954,0
dte_0,1255,0.0015936254980079682,-2289882.2021484375,-1.8772826180067528,-1824.6073323891933,0
dte_1,1254,0.8444976076555024,298510.5392179582,0.2856288551283873,238.0466819919923,0
dte_2,1253,0.8754988028731046,540104.7373529595,0.7027724168712487,431.0492716304545,0
dte_3,1252,0.8354632587859425,374632.3043984189,0.5202215971712498,299.22708019043085,0
dte_5,1251,0.7545963229416467,191952.37253802546,0.26215233010625955,153.43914671304978,0
dte_7,1249,0.6981585268214572,110016.29414222171,0.1688856050150861,88.0835021154698,0
delta_0.08,1253,0.9010375099760575,276538.79808024573,0.5674393933753015,220.70135521168882,0
delta_0.1,1253,0.8978451715881883,355612.8253234666,0.6311054838887628,283.8091183746739,0
delta_0.12,1253,0.8946528332003192,437758.24871287413,0.6845511777706575,349.3681154931163,0
delta_0.14,1253,0.8850758180367119,506475.40830873454,0.6969358429306531,404.21022211391454,0
delta_0.16,1253,0.8731045490822027,568380.9494131039,0.6833833243089465,453.6160809362357,0
delta_0.18,1253,0.8627294493216281,625662.7249280163,0.6768981075114556,499.33178366162514,0
delta_0.2,1253,0.8483639265762171,675587.6389250491,0.6608275827998787,539.1760885275734,0
wing_15,1253,0.8778930566640064,307695.4944809754,0.653138522199467,245.56703470149677,0
wing_20,1253,0.8770949720670391,393393.5640292978,0.6729357303200344,313.96134399784336,0
wing_25,1253,0.8747007182761373,468997.5455892591,0.6854934288322555,374.2997171502472,0
wing_30,1253,0.8754988028731046,540104.7373529595,0.7027724168712487,431.0492716304545,0
wing_35,1253,0.8778930566640064,600228.4430530438,0.7066317620482819,479.03307506228526,0
wing_40,1253,0.879489225857941,648355.110075422,0.7013578419842522,517.4422267162196,0
wing_50,1253,0.879489225857941,728558.7697624689,0.6883341561950785,581.451532132856,0
vix_10_15,256,0.90234375,109292.29717729049,0.836291180204179,426.92303584879073,0
vix_12_18,614,0.9104234527687296,291782.6869329384,0.9659723892642744,475.2161024966425,0
vix_14_18,451,0.9024390243902439,215221.3185879402,0.9171013051829501,477.2091321240362,0
vix_14_20,638,0.8918495297805643,303016.8652024631,0.9389900229636885,474.94806458066375,0
vix_15_20,550,0.8981818181818182,270081.9200337606,1.0088052592654595,491.0580364250197,0
vix_16_20,449,0.9042316258351893,229669.62718262733,1.1898080998200304,511.51364628647536,0
vix_18_25,458,0.8558951965065502,190594.7472000713,0.6466402732525626,416.14573624469733,0
skip_Thu_Fri,749,0.9292389853137517,370322.5342871597,0.8581912606473565,494.4226091951398,0
skip_Mon_Thu,769,0.9258777633289987,370969.0375761023,0.812296033801738,482.4044701899903,0
skip_Mon_Fri,767,0.8305084745762712,279149.14753506234,0.5367338593928384,363.949344895779,0
skip_Wed_Thu,745,0.938255033557047,383680.02654138877,0.9697487847618349,515.0067470354214,0
skip_month_Jan,1153,0.8811795316565482,507020.87745940144,0.7283375338441256,439.7405702163066,0
skip_month_Sep,1150,0.8730434782608696,487713.13499453414,0.681449393790422,424.09837825611675,0
skip_month_Oct,1143,0.8722659667541557,482340.7747630003,0.6763528409084825,421.99542848906447,0
skip_month_Sep+Oct,1040,0.8692307692307693,429949.17240457545,0.6514670273173917,413.4126657736303,0
skip_month_Jan+Sep+Oct,940,0.875531914893617,396865.31251101755,0.6747152765446937,422.19714096916766,0
skip_month_Mar,1143,0.8757655293088364,489381.1290488978,0.690520073328668,428.15496854671756,0
max_gap_0.3,746,0.8941018766756033,342927.32981928944,0.8346694423408582,459.6881096773321,0
max_gap_0.4,893,0.883538633818589,392793.915146584,0.7499641128069358,439.85880755496567,0
max_gap_0.5,991,0.8799192734611504,430145.0285370555,0.7251109890121595,434.0514919647384,0
max_gap_0.75,1127,0.8819875776397516,496954.9309367585,0.7487656941024405,440.9537985241869,0
max_gap_1.0,1196,0.8779264214046822,522836.24399508233,0.7318212902102313,437.15405016311246,0
momentum_uptrend_only,751,0.8921438082556591,335123.80235775304,0.7654930618535262,446.2367541381535,0
momentum_downtrend_only,507,0.8520710059171598,208279.18505962053,0.6292856925593414,410.8070711235119,0
momentum_skip_strong_moves,1051,0.8725023786869648,446825.29498526955,0.7042151702823597,425.14300188893424,0
thu_vix14_20,510,0.9450980392156862,276022.9104590319,1.249771665679953,541.2213930569258,0
thu_gap05,804,0.9303482587064676,396676.679290622,0.8838243136709868,493.37895434156997,0
thu_mon,769,0.9258777633289987,370969.0375761023,0.812296033801738,482.4044701899903,0
size_2x_vix14_18,1253,0.8754988028731046,540104.7373529595,0.7027724168712487,431.0492716304545,0
size_2x_vix_lt16,1253,0.8754988028731046,540104.7373529595,0.7027724168712487,431.0492716304545,0
