name,trades,win_rate,pnl,sharpe
thu_wing50,1002,0.936127744510978,690828.5946564889,0.916919021834298
thu_delta20,1002,0.8932135728542914,622135.3394022397,0.8253790491723444
thu_delta20_wing50,1002,0.906187624750499,890661.9711399324,0.9099351040342648
wedthu_d16_w40,745,0.938255033557047,494594.90634555474,0.9921132186746693
vix1420_thu_d18_w35,510,0.9235294117647059,355048.2641841527,1.1476676932012366
thu_gap75_d18_w40,905,0.9193370165745857,648106.1675272286,0.9461724971285126
aggressive_d22_w60,1253,0.8451715881883479,1140162.614945343,0.7084850533665799
balanced_thu_d16_w35,1002,0.9301397205588823,591696.0786448095,0.9035330804548067
maxsharpe_vix1620_wedthu,271,0.981549815498155,152149.2873610746,2.5588444662562515
conservative_d12_vix1418,356,0.9691011235955056,136783.4453289346,1.18590758605845
