date,spx,vix,momentum,put_delta,call_delta,contracts,credit,pnl,capital,win,year
2021-02-12,3934.830078125,19.96999931335449,0.012349395017328568,0.12,0.18,1,623.1328816019271,623.1328816019271,20623.132881601927,True,2021
2021-03-16,3962.7099609375,19.790000915527344,0.02251873873694521,0.1,0.2,1,621.961659246216,621.961659246216,21245.094540848142,True,2021
2021-03-22,3940.590087890625,18.8799991607666,-0.007142928321958952,0.18,0.12,1,614.7561456489797,614.7561456489797,21859.85068649712,True,2021
2021-03-26,3974.5400390625,18.86000061035156,0.0157010911739901,0.12,0.18,1,611.3182707996344,611.3182707996344,22471.168957296755,True,2021
2021-03-31,3972.889892578125,19.399999618530277,0.021534324378463587,0.1,0.2,1,615.0517370713914,-2384.9482629286085,20086.220694368145,False,2021
2021-04-06,4073.93994140625,18.1200008392334,0.025899652548617258,0.1,0.2,1,612.3173769522737,612.3173769522737,20698.538071320418,True,2021
2021-04-09,4128.7998046875,16.690000534057617,0.02709781269654865,0.1,0.2,1,593.0378166394917,593.0378166394917,21291.57588795991,True,2021
2021-04-14,4124.66015625,16.989999771118164,0.010958518024291708,0.12,0.18,1,593.1663063806326,-53.85517799436741,21237.720709965542,False,2021
2021-04-19,4163.259765625,17.290000915527344,0.008543995806070459,0.12,0.18,1,601.5347402891734,601.5347402891734,21839.255450254717,True,2021
2021-04-23,4180.169921875,17.329999923706055,-0.0012663554383812725,0.18,0.12,1,605.6502687373211,605.6502687373211,22444.90571899204,True,2021
2021-04-28,4183.18017578125,17.280000686645508,0.0023386704642616163,0.12,0.18,1,603.0057196199323,603.0057196199323,23047.91143861197,True,2021
2021-05-03,4192.66015625,18.309999465942383,0.001203556894240121,0.12,0.18,1,617.5043662878238,617.5043662878238,23665.415804899792,True,2021
2021-05-07,4232.60009765625,16.690000534057617,0.0123004270915128,0.12,0.18,1,599.6486483636801,-890.3415860113199,22775.074218888472,False,2021
2021-05-14,4173.85009765625,18.809999465942383,-0.013880356906983082,0.18,0.12,1,627.9051289623567,627.9051289623567,23402.97934785083,True,2021
2021-05-24,4197.0498046875,18.399999618530277,0.008108915138807404,0.12,0.18,1,621.4162508040744,621.4162508040744,24024.395598654904,True,2021
2021-05-28,4204.10986328125,16.760000228881836,0.011610112368395376,0.12,0.18,1,596.3121932599478,596.3121932599478,24620.70779191485,True,2021
