name,trades,win_rate,total_pnl,avg_pnl,max_loss,sharpe
Baseline,249,92.0%,"$46,126",$185,"$-2,658",0.31
VIX≤25,229,96.9%,"$62,849",$274,"$-2,658",0.69
VIX≤20,186,98.4%,"$57,390",$309,"$-2,638",1.32
Conservative,249,98.0%,"$53,039",$213,"$-2,728",0.56
Conservative+VIX≤25,229,98.3%,"$50,322",$220,"$-2,728",0.63
Aggressive 1DTE,250,92.0%,"$60,990",$244,"$-2,580",0.36
Aggressive+VIX≤25,230,93.0%,"$61,088",$266,"$-2,580",0.43
